t=2026-04-08T09:50:20+0530 lvl=info msg="no configuration paths supplied"
t=2026-04-08T09:50:20+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\patil\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-04-08T09:50:20+0530 lvl=info msg="open config file" path=C:\\Users\\patil\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-04-08T09:50:20+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-04-08T09:50:20+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-08T09:50:20+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-08T09:50:20+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-08T09:50:21+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5173 url=https://erasable-contributively-jann.ngrok-free.dev
t=2026-04-08T09:50:38+0530 lvl=info msg=start pg=/api/tunnels id=f9ba918aa22fb187
t=2026-04-08T09:50:38+0530 lvl=info msg=end pg=/api/tunnels id=f9ba918aa22fb187 status=200 dur=503.2µs
t=2026-04-08T09:51:08+0530 lvl=info msg="join connections" obj=join id=445cdf6f1d3c l=[::1]:5173 r=[2401:4900:88cb:5f82:6810:bca0:ecb2:224e]:52043
t=2026-04-08T09:51:09+0530 lvl=info msg="join connections" obj=join id=8944a533ecc1 l=[::1]:5173 r=[2401:4900:88cb:5f82:6810:bca0:ecb2:224e]:52043
t=2026-04-08T09:51:09+0530 lvl=info msg="join connections" obj=join id=376d43c9bff9 l=[::1]:5173 r=[2401:4900:88cb:5f82:6810:bca0:ecb2:224e]:52043
t=2026-04-08T09:51:09+0530 lvl=info msg="join connections" obj=join id=cc3ed200b89b l=[::1]:5173 r=[2401:4900:88cb:5f82:6810:bca0:ecb2:224e]:52043
t=2026-04-08T09:51:09+0530 lvl=info msg="join connections" obj=join id=9a6afb28c94a l=[::1]:5173 r=[2401:4900:88cb:5f82:6810:bca0:ecb2:224e]:52043
t=2026-04-08T09:51:09+0530 lvl=info msg="join connections" obj=join id=fa626c5dac73 l=[::1]:5173 r=[2401:4900:88cb:5f82:6810:bca0:ecb2:224e]:52043
t=2026-04-08T09:51:09+0530 lvl=info msg="join connections" obj=join id=c7b506520cee l=[::1]:5173 r=[2401:4900:88cb:5f82:6810:bca0:ecb2:224e]:52043
t=2026-04-08T09:51:09+0530 lvl=info msg="join connections" obj=join id=d1ece2a2156a l=[::1]:5173 r=[2401:4900:88cb:5f82:6810:bca0:ecb2:224e]:52043
